Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
WASP-104,WASP-104 b,125.3,11.7,436526586.7026,-6.37,0.000000,2.41442136e+25,8128640.4
WTS-1,WTS-1 b,1.0,12.2,703109992.29,-4.50,0.100000,7.6115013e+25,10652308.0
WTS-2,WTS-2 b,70.0,6.7,277504050.1485,-6.45,0.000000,2.1259056e+25,9744359.6
XO-5,XO-5 b,337.9,13.2,770429034.1049999,-3.20,0.000000,2.2587746999999997e+25,8150087.999999999
Kepler-447,Kepler-447 b,232.4,0.6,1150407625.6829998,-3.45,0.123000,2.6004381e+25,11796180.0
Lupus-TR-3,Lupus-TR-3 b,140.6,6.9,694134120.048,-1.70,0.000000,1.5374853e+25,6362788.0
HATS-10,HATS-10 b,358.6,9.1,671844037.3137,-2.21,0.501000,9.9841638e+24,6927574.8
HAT-P-55,HAT-P-55 b,223.2,7.3,688748596.7027999,-2.30,0.139000,1.1047116599999999e+25,8450354.4
OGLE-TR-182,OGLE-TR-182 b,280.9,1.1,762949140.5699999,-4.30,0.000000,1.9171113e+25,8078595.999999999
OGLE-TR-211,OGLE-TR-211 b,174.9,11.7,762949140.5699999,-2.80,0.000000,1.9550739e+25,9722912.0
Kepler-1647,Kepler-1647 b,273.5,0.8,40698100723.935,0.10,0.058100,2.8845501984e+25,7571002.8
WASP-120,WASP-120 b,97.6,5.9,768933055.398,-7.46,0.057000,9.205930499999999e+25,10530771.600000001
WASP-123,WASP-123 b,230.4,1.6,637735722.7941,-4.26,0.000000,1.70641887e+25,9422645.6
HATS-25,HATS-25 b,35.5,8.2,772373806.4241,-3.07,0.176000,1.16355369e+25,9007992.0
HATS-26,HATS-26 b,345.7,2.8,708345917.7645,-3.80,0.245000,1.2337845e+25,12511100.0
HATS-27,HATS-27 b,313.7,5.7,914042989.977,-2.70,0.581000,1.0060089e+25,10723800.0
HATS-28,HATS-28 b,147.8,5.9,617988803.8616999,-3.83,0.202000,1.27554336e+25,8536144.799999999
HATS-29,HATS-29 b,332.4,6.5,819048342.0825,-2.63,0.158000,1.2394788900000001e+25,8943649.2
Qatar-1,Qatar-1 b,103.1,2.9,348862234.4724,-5.92,0.000000,2.45618022e+25,8171535.600000001
Qatar-2,Qatar-2 b,162.8,14.1,322084215.6171,-3.88,0.000000,4.73393622e+25,8965096.8
TrES-3,TrES-3 b,275.7,4.8,341382340.9374,-8.15,0.000000,3.6254282999999998e+25,9551331.200000001
XO-6,XO-6 b,334.5,1.8,1219222646.2050002,-4.00,0.000000,8.351772e+25,14798843.999999998
WASP-1,WASP-1 b,346.2,3.2,581786119.1523,0.00,0.000000,1.62100302e+25,10602263.600000001
WASP-4,WASP-4 b,267.3,7.1,338091187.782,-0.94,0.000000,2.25118218e+25,9444093.2
WASP-5,WASP-5 b,13.3,8.2,399426314.769,-3.10,0.038000,2.9990454e+25,7771180.399999999
HATS-30,HATS-30 b,193.3,10.5,651349129.0278001,-3.16,0.096000,1.34007978e+25,8400310.0
WASP-121,WASP-121 b,215.4,0.4,380576983.0608,-2.40,0.000000,2.2454877900000003e+25,13333258.0
HATS-15,HATS-15 b,117.0,5.5,405709425.33839995,-2.87,0.126000,4.1189421e+25,7899866.0
HATS-16,HATS-16 b,71.9,3.4,560094427.9008,-6.47,0.000000,6.2068851e+25,9293960.0
K2-36,K2-36 b,168.6,5.5,333603251.661,-5.55,0.000000,2.32900551e+23,915097.6
K2-36,K2-36 c,261.3,6.6,807828501.78,-3.08,0.000000,4.65801102e+23,2037521.9999999998
WASP-19,WASP-19 b,346.9,7.2,244442920.7238,-11.22,0.002000,2.02910097e+25,9951686.399999999
WASP-20,WASP-20 b,211.9,8.2,897587224.1999999,-4.44,0.000000,5.9031843e+24,10452130.4
WASP-21,WASP-21 b,35.9,13.6,777908927.64,-1.25,0.000000,5.694389999999999e+24,7649644.0
WASP-23,WASP-23 b,169.2,11.1,562487993.832,-1.61,0.062000,1.67794692e+25,6877530.399999999
WASP-28,WASP-28 b,83.2,10.5,668552884.1583,-1.39,0.000000,1.72160391e+25,8671979.6
WASP-31,WASP-31 b,144.2,14.0,696976479.5913,-5.59,0.000000,9.073061399999999e+24,11074110.799999999
K2-60,K2-60 b,211.7,0.6,673190418.15,-1.51,0.000000,8.0860338e+24,4882903.600000001
K2-66,K2-66 b,217.3,3.9,895044060.3981,-3.40,0.000000,1.2721267259999998e+24,1587122.4
WASP-37,WASP-37 b,349.4,14.0,667206503.322,-1.18,0.000000,3.416634e+25,8293071.999999999
WASP-39,WASP-39 b,288.1,3.6,727045651.602,-2.17,0.000000,5.314764e+24,9079484.0
WASP-43,WASP-43 b,87.6,4.2,212428976.39400002,-7.40,0.000000,3.3786714e+25,6648756.0
WASP-52,WASP-52 b,153.7,11.3,406906208.30399996,-4.65,0.000000,8.731398e+24,9079484.0
WASP-59,WASP-59 b,125.5,7.3,1042697158.7789999,-0.73,0.100000,1.6380861899999999e+25,5540630.0
WASP-64,WASP-64 b,72.8,11.8,396135161.6136,-3.43,0.000000,2.4125232299999997e+25,9086633.2
WASP-65,WASP-65 b,232.5,8.4,499656888.138,-1.20,0.000000,2.9421015e+25,7949910.4
WASP-70 A,WASP-70 A b,23.7,12.8,725998466.5071,-2.88,0.000000,1.1198966999999998e+25,8321668.8
WASP-75,WASP-75 b,130.9,5.5,560992015.125,-8.00,0.000000,2.0309991e+25,9079484.0
WASP-80,WASP-80 b,18.4,14.7,514616675.208,-0.98,0.002000,1.0211939400000001e+25,7142050.8
WASP-84,WASP-84 b,123.3,9.7,1153399583.0970001,-1.63,0.000000,1.31730222e+25,6734546.399999999
WASP-96,WASP-96 b,36.0,11.3,677678354.271,-4.40,0.000000,9.111023999999999e+24,8579040.0
Kepler-453,Kepler-453 b,15.6,11.0,11822719721.421,-0.56,0.035900,9.55518642e+23,3953507.6000000006
WASP-83,WASP-83 b,331.5,14.0,882627437.13,-1.10,0.000000,5.694389999999999e+24,7435168.0
WASP-89,WASP-89 b,242.6,5.8,638782907.889,-0.60,0.193000,1.1198967000000001e+26,7435168.0
HATS-8,HATS-8 b,82.6,5.3,698173262.5569,-2.20,0.376000,2.6194194e+24,6241251.6
K2-30,K2-30 b,5.7,5.5,723904096.3173001,-3.08,0.000000,1.09901727e+25,7428018.8
KELT-9,KELT-9 b,331.4,14.8,517907828.3634,-3.21,0.000000,5.4666143999999994e+25,13519137.2
MASCARA-1,MASCARA-1 b,287.2,3.3,643270844.01,-3.00,0.000000,7.023081e+25,10723800.0
WASP-151,WASP-151 b,60.3,1.0,822788288.85,-0.80,0.003000,5.884202999999999e+24,8078595.999999999
WASP-153,WASP-153 b,125.2,6.0,718069779.36,-5.90,0.009000,7.402707e+24,11081260.0
WASP-156,WASP-156 b,141.5,8.0,677678354.271,-0.90,0.007000,2.4296064e+24,3646092.0
K2-137,K2-137 b,335.6,11.4,86766765.006,-0.40,0.000000,9.49065e+24,564786.8
NGTS-2,NGTS-2 b,178.6,8.0,942466585.41,-1.50,0.000000,1.4046162e+25,11402974.0
K2-266,K2-266 c,36.5,8.7,1015769542.053,-1.72,0.042000,1.7272983e+22,450399.6
K2-266,K2-266 d,13.9,11.9,1548337961.745,-0.54,0.047000,5.3147640000000003e+23,1865941.2
