Reference Body,Name,LAN,AOP,SMA,Inclination,Eccentricity,Mass,Radius
HD 30856,HD 30856 b,158.4,6.7,27675606079.5,,0.061000,2.9364071099999998e+25,
HD 31253,HD 31253 b,291.7,8.4,18849331708.2,,0.300000,1.1768405999999999e+25,
HD 32518,HD 32518 b,351.9,13.6,8826274371.3,,0.010000,5.7703152e+25,
HD 33142,HD 33142 b,306.6,7.2,16006972164.900002,,0.066000,2.62891005e+25,
HD 33283,HD 33283 b,343.7,1.6,2255935890.1559997,,0.399000,6.244847700000001e+24,
HD 33564,HD 33564 b,102.4,13.5,16455765777.000002,,0.340000,1.7272983e+26,
HD 34445,HD 34445 b,270.3,6.6,30966759234.899998,,0.270000,1.5564665999999998e+25,
HD 37124,HD 37124 b,213.9,3.2,7983140772.0348,,0.054000,1.28123775e+25,
HD 37124,HD 37124 c,95.3,0.9,25581235889.7,,0.125000,1.23758076e+25,
HD 37124,HD 37124 d,59.6,3.3,41992122305.49,,0.160000,1.32109848e+25,
HD 37605,HD 37605 b,64.1,0.0,4143861018.3900003,,0.674500,5.1059697e+25,
HD 37605,HD 37605 c,334.4,13.9,55949603641.8,,0.030000,6.0550347e+25,
HD 38283,HD 38283 b,15.1,10.9,15258982811.4,,0.410000,7.59252e+24,
HD 38529,HD 38529 b,197.9,11.7,1935796446.8579998,,0.280000,1.51280961e+25,
HD 38529,HD 38529 c,248.2,13.8,54453624934.8,,0.340700,2.46567087e+26,
HD 38801,HD 38801 b,92.6,2.0,24279734414.61,,0.017000,1.840806474e+26,
HD 39091,HD 39091 b,252.1,5.8,46375339917.0,,0.637000,1.90192626e+26,
HD 40307,HD 40307 b,331.0,7.7,700118034.876,,0.200000,2.3916438e+23,
HD 40307,HD 40307 c,215.2,14.6,1195286986.893,,0.060000,3.9481103999999995e+23,
HD 40307,HD 40307 d,311.5,3.6,1976187871.947,,0.070000,5.6754087e+23,
HD 40307,HD 40307 f,140.5,5.5,3695067406.29,,0.020000,3.1129332000000003e+23,
HD 40307,HD 40307 g,163.0,1.7,8975872242.0,,0.290000,4.2328299e+23,
HD 40979,HD 40979 b,221.7,3.1,12715819009.5,,0.250000,8.8642671e+25,
HD 41004 A,HD 41004 A b,266.0,2.3,,,0.740000,4.8212502e+25,
HD 41004 B,HD 41004 B b,285.3,4.5,,,0.081000,3.48686481e+26,
HD 43197,HD 43197 b,287.2,3.7,13763004104.400002,,0.830000,1.1388779999999998e+25,
HD 43691,HD 43691 b,215.8,1.2,3560429322.66,,0.079600,4.8402315e+25,
HD 44219,HD 44219 b,49.0,1.9,17802146613.3,,0.610000,1.1009153999999998e+25,
HD 45364,HD 45364 b,113.9,10.6,10192102930.791,,0.168400,3.55329936e+24,
HD 45364,HD 45364 c,292.1,8.6,13421920959.204,,0.097400,1.248779727e+25,
