Name,Distance,Temperature,Mass,Radius,Ecliptic Longitude,Ecliptic Latitude
Kepler-6,1.842594898e+17,5647.0,2.4060487000000003e+28,96702300.0,320.424918,67.039993
Kepler-7,2.923577322e+17,5933.0,2.7043192000000006e+28,137052900.0,301.364009,62.520467
Kepler-8,3.24893353e+17,6213.0,2.4060487000000003e+28,103659300.0,290.06652,65.105964
Kepler-9,1.8946198e+17,5774.0,2.0282394000000003e+28,66787200.0,295.279241,60.480645
Kepler-10,5.7548305e+16,5708.0,1.8095077000000003e+28,73744200.0,303.700965,71.84989
Kepler-11,2.032211163e+17,5663.0,1.9089312000000002e+28,73744200.0,314.759371,61.202226
GJ 3341,7146481200000000.0,3526.0,9.345809e+27,30610800.0,73.767614,-54.114028
GJ 3470,9087386500000000.0,3600.0,1.0737738000000001e+28,38263500.0,118.731056,-5.127428
HAT-P-1,4.92817147e+16,5980.0,2.2867405e+28,81396900.0,4.295522,41.042024
HAT-P-2,3.95741025e+16,6380.0,2.6446651000000006e+28,96702300.0,229.161802,61.011642
HAT-P-3,4.16816356e+16,5185.0,2.1077782e+28,60525900.0,177.534477,53.047664
HAT-P-5,9.44255057e+16,5960.0,2.0680088000000004e+28,77918400.0,277.072495,59.952589
HAT-P-6,8.5628175e+16,6570.0,3.5593613000000003e+28,112703400.0,15.730785,40.253155
HAT-P-8,6.56760388e+16,6200.0,2.5253569000000003e+28,109224900.0,0.932042,38.800868
HAT-P-9,1.481136e+17,6350.0,2.5452416e+28,93223800.0,106.51962,14.85089
HAT-P-12,4.3971225e+16,4650.0,1.4515831000000001e+28,48699000.0,184.7799,50.632274
HAT-P-13,6.603398e+16,5653.0,2.4259334e+28,108529200.0,119.444885,27.907101
HAT-P-14,6.9150537e+16,6600.0,5.2694455000000005e+28,126617400.0,253.788135,61.12638
HAT-P-15,5.97268092e+16,5568.0,1.98847e+28,74439900.0,70.961623,17.578264
HD 108874,1.83969434e+16,5600.0,2.1873170000000004e+28,73048500.0,177.323887,23.907566
HD 109246,2.09735029e+16,5844.0,2.386164e+28,74439900.0,127.186786,64.017513
HD 109749,1.9501624e+16,5824.0,2.2469711e+28,84875400.0,206.502473,-33.428878
HD 110014,3.11593986e+16,4445.0,4.3149799e+28,1454013000.0,192.154064,-3.468119
HD 111232,8942358600000000.0,5512.0,1.6703148000000001e+28,62613000.0,230.840527,-55.310876
HD 113337,1.11764054e+16,6576.6,2.783858e+28,104355000.0,149.962938,60.337844
HD 113538,4906263000000000.0,4462.0,1.1533126000000001e+28,36872100.0,218.870997,-41.263619
HD 114386,8624531500000000.0,4836.0,1.193082e+28,52873200.0,210.332387,-25.350161
HD 114613,6260885300000000.0,5641.0,2.5253569000000003e+28,148879800.0,211.915844,-27.721768
HD 114762,1.24137711e+16,5869.0,1.5907760000000003e+28,83484000.0,189.508372,23.196841
